dataTime,locType,longitude,latitude,heading,accuracy,speed,distance,isBackForeground,stepType,altitude,user_id
1781527776,1,-79.640196,43.601275,0.000000,9.447487,16.731166,189.811041,1,0,155.768740,user_01
1781527781,1,-79.641014,43.600544,0.000000,2.231159,16.838676,104.695860,1,0,156.150899,user_01
1781527787,1,-79.641825,43.599820,0.000000,2.186150,17.145287,103.735778,1,0,156.352609,user_01
1781527793,1,-79.642628,43.599075,0.000000,2.076122,17.814994,105.155652,1,0,156.923137,user_01
1781527799,1,-79.643409,43.598338,0.000000,2.013314,16.108042,103.363636,1,0,157.553536,user_01
1781527808,1,-79.644230,43.597626,0.000000,7.984972,8.551548,103.222312,1,0,157.213390,user_01
1781527909,1,-79.645106,43.596880,0.000000,2.964748,12.977544,108.979472,1,0,156.371721,user_01
1781527916,1,-79.646013,43.596077,0.000000,2.006329,18.097305,115.442994,1,0,155.838892,user_01
1781527922,1,-79.646893,43.595291,0.000000,2.028345,18.574789,112.600317,1,0,155.896381,user_01
1781527928,1,-79.647763,43.594531,0.000000,2.150403,17.688270,109.856504,1,0,156.356280,user_01
1781527934,1,-79.648628,43.593776,0.000000,2.000454,18.574558,109.171168,1,0,156.341465,user_01
1781527940,1,-79.649538,43.592985,0.000000,2.047163,19.333462,114.571031,1,0,157.151262,user_01
1781527946,1,-79.650489,43.592156,0.000000,2.064230,20.316159,119.934425,1,0,157.949340,user_01
1781527953,1,-79.651429,43.591338,0.000000,2.000495,19.149438,118.431182,1,0,158.299231,user_01
1781527959,1,-79.652266,43.590614,0.000000,2.026711,17.126185,105.082167,1,0,158.000694,user_01
1781527965,1,-79.653138,43.589854,0.000000,2.106481,18.764743,109.963986,1,0,157.495828,user_01
1781527971,1,-79.654044,43.589071,0.000000,2.000228,18.987278,113.686617,1,0,156.300587,user_01
1781527977,1,-79.654926,43.588298,0.000000,2.055492,18.158253,111.590956,1,0,154.569569,user_01
1781527983,1,-79.655786,43.587571,0.000000,2.098453,16.939073,106.539540,1,0,152.634412,user_01
1781527991,1,-79.656637,43.586829,0.000000,2.040427,10.720885,107.341499,1,0,150.558291,user_01
1781528003,1,-79.657441,43.586131,0.000000,2.024079,11.373159,101.155614,1,0,148.607496,user_01
1781528010,1,-79.658301,43.585427,0.000000,2.097737,16.749795,104.619746,1,0,145.560161,user_01
1781528016,1,-79.659157,43.584735,0.000000,2.248083,17.180776,103.410271,1,0,142.034902,user_01
1781528022,1,-79.660035,43.583979,0.000000,3.050287,18.814769,109.939305,1,0,139.679044,user_01
1781528028,1,-79.660879,43.583252,0.000000,2.438197,16.812855,105.705346,1,0,138.728817,user_01
1781528035,1,-79.661700,43.582542,0.000000,2.001648,14.274169,103.063643,1,0,137.958575,user_01
1781528043,1,-79.662542,43.581743,0.000000,2.006836,15.578274,111.838853,1,0,135.878983,user_01
1781528050,1,-79.663455,43.580925,0.000000,2.000015,17.202413,117.048833,1,0,132.877896,user_01
1781528056,1,-79.664238,43.580211,0.000000,2.000000,16.745721,101.462307,1,0,131.762981,user_01
1781528062,1,-79.665041,43.579480,0.000000,2.165519,18.066621,103.950369,1,0,132.163062,user_01
1781528068,1,-79.665916,43.578684,0.000000,2.000370,18.497070,113.223726,1,0,133.115407,user_01
1781528074,1,-79.666760,43.577917,0.000000,2.000001,18.657091,109.143070,1,0,133.901292,user_01
1781528079,1,-79.667605,43.577137,0.000000,2.000000,17.955311,110.324521,1,0,134.882269,user_01
1781528085,1,-79.668142,43.576279,0.000000,2.137192,17.448789,104.738039,1,0,134.771998,user_01
1781528091,1,-79.668186,43.575330,0.000000,2.000488,17.823481,105.499554,1,0,134.809375,user_01
1781528097,1,-79.667923,43.574417,0.000000,2.029550,16.468979,103.641523,1,0,134.909186,user_01
1781528104,1,-79.667771,43.573483,0.000000,2.004568,14.172259,104.497242,1,0,134.752457,user_01
1781528112,1,-79.668102,43.572505,0.000000,2.013424,13.914761,111.904818,1,0,136.284588,user_01
1781528120,1,-79.668516,43.571566,0.000000,2.275932,11.593281,109.560533,1,0,137.734213,user_01
1781528161,1,-79.668398,43.570644,0.000000,2.093933,8.818109,102.882507,1,0,139.010991,user_01
1781528170,1,-79.667239,43.570247,0.000000,2.797553,13.363509,103.518665,1,0,135.444268,user_01
1781528177,1,-79.666321,43.569628,0.000000,2.638766,15.183297,101.154442,1,0,133.574281,user_01
1781528184,1,-79.665366,43.568936,0.000000,2.017504,15.342700,108.931640,1,0,133.033100,user_01
1781528191,1,-79.664406,43.568263,0.000000,2.114061,15.194250,107.747458,1,0,131.800779,user_01
1781528198,1,-79.663462,43.567579,0.000000,2.216454,15.717013,107.679321,1,0,130.026223,user_01
1781528205,1,-79.662547,43.566932,0.000000,2.232753,9.793078,103.125411,1,0,131.013955,user_01
1781528235,1,-79.661544,43.566233,0.000000,3.437757,13.213080,112.254514,1,0,129.447360,user_01
1781528243,1,-79.660540,43.565521,0.000000,2.337685,14.845161,113.316379,1,0,123.302224,user_01
